seed,method,n_iter,dataset,value
0,random,0,1502,0.9836734693877551
0,random,1,1502,0.9857142857142858
0,random,2,1502,0.9877551020408163
0,random,3,1502,0.9897959183673469
0,random,4,1502,0.9934693877551021
0,random,5,1502,0.9952380952380953
0,random,6,1502,0.9959183673469387
0,random,7,1502,0.9974489795918368
0,random,8,1502,0.9977324263038548
0,random,9,1502,0.9979591836734694
0,margin,0,1502,0.9836734693877551
0,margin,1,1502,0.9897959183673469
0,margin,2,1502,0.9891156462585035
0,margin,3,1502,0.9836734693877551
0,margin,4,1502,0.9787755102040816
0,margin,5,1502,0.9782312925170068
0,margin,6,1502,0.9795918367346939
0,margin,7,1502,0.9801020408163266
0,margin,8,1502,0.9800453514739229
0,margin,9,1502,0.9804081632653061
0,confidence,0,1502,0.9836734693877551
0,confidence,1,1502,0.9897959183673469
0,confidence,2,1502,0.9891156462585035
0,confidence,3,1502,0.9836734693877551
0,confidence,4,1502,0.9787755102040816
0,confidence,5,1502,0.9782312925170068
0,confidence,6,1502,0.9795918367346939
0,confidence,7,1502,0.9801020408163266
0,confidence,8,1502,0.9800453514739229
0,confidence,9,1502,0.9804081632653061
0,entropy,0,1502,0.9836734693877551
0,entropy,1,1502,0.9897959183673469
0,entropy,2,1502,0.9891156462585035
0,entropy,3,1502,0.9836734693877551
0,entropy,4,1502,0.9787755102040816
0,entropy,5,1502,0.9782312925170068
0,entropy,6,1502,0.9795918367346939
0,entropy,7,1502,0.9801020408163266
0,entropy,8,1502,0.9800453514739229
0,entropy,9,1502,0.9804081632653061
0,kmeans,0,1502,0.9836734693877551
0,kmeans,1,1502,0.9877551020408163
0,kmeans,2,1502,0.9877551020408163
0,kmeans,3,1502,0.9918367346938776
0,kmeans,4,1502,0.9934693877551021
0,kmeans,5,1502,0.9945578231292517
0,kmeans,6,1502,0.9941690962099126
0,kmeans,7,1502,0.9948979591836735
0,kmeans,8,1502,0.9954648526077098
0,kmeans,9,1502,0.9955102040816326
0,wkmeans,0,1502,0.9836734693877551
0,wkmeans,1,1502,0.9734693877551021
0,wkmeans,2,1502,0.9782312925170068
0,wkmeans,3,1502,0.9714285714285714
0,wkmeans,4,1502,0.9746938775510204
0,wkmeans,5,1502,0.9755102040816327
0,wkmeans,6,1502,0.9772594752186589
0,wkmeans,7,1502,0.9785714285714285
0,wkmeans,8,1502,0.9786848072562359
0,wkmeans,9,1502,0.9795918367346939
1,random,0,1502,0.9673469387755103
1,random,1,1502,0.9836734693877551
1,random,2,1502,0.9904761904761905
1,random,3,1502,0.9918367346938776
1,random,4,1502,0.9934693877551021
1,random,5,1502,0.9952380952380953
1,random,6,1502,0.9970845481049563
1,random,7,1502,0.9974489795918368
1,random,8,1502,0.9972789115646259
1,random,9,1502,0.996734693877551
1,margin,0,1502,0.9673469387755103
1,margin,1,1502,0.9897959183673469
1,margin,2,1502,0.9877551020408163
1,margin,3,1502,0.9857142857142858
1,margin,4,1502,0.9861224489795918
1,margin,5,1502,0.9884353741496599
1,margin,6,1502,0.9865889212827988
1,margin,7,1502,0.9841836734693877
1,margin,8,1502,0.9845804988662131
1,margin,9,1502,0.9816326530612245
1,confidence,0,1502,0.9673469387755103
1,confidence,1,1502,0.9897959183673469
1,confidence,2,1502,0.9877551020408163
1,confidence,3,1502,0.9857142857142858
